,nonzero_pct,negative_pct,median,mean,p99,max,min
Sw_amt,79.65,0.0,47822.0,58573.96,270992.1,805047.0,0.0
Alow_ben_amt,26.76,0.0,0.0,967.45,21219.11,156882.0,0.0
ETP_txbl_amt,1.89,0.0,0.0,199.5,1429.0,615982.0,0.0
Grs_int_amt,63.4,0.0,11.0,790.51,13938.0,126305.0,0.0
Aust_govt_pnsn_allw_amt,10.34,0.0,0.0,1154.68,21824.11,28117.0,0.0
Unfranked_Div_amt,8.11,0.0,0.0,96.96,1117.11,167173.0,0.0
Frk_Div_amt,18.8,0.0,0.0,1775.1,36318.98,978893.0,0.0
Dividends_franking_cr_amt,18.64,0.0,0.0,701.71,14288.0,376945.0,0.0
Net_rent_amt,14.1,6.93,0.0,99.94,18914.11,159805.0,-205771.0
Gross_rent_amt,14.03,0.0,0.0,3451.89,58116.75,1029792.0,0.0
Other_rent_ded_amt,14.02,0.0,0.0,1591.48,28028.11,560924.0,0.0
Rent_int_ded_amt,10.7,0.0,0.0,1478.56,30016.44,538200.0,0.0
Rent_cap_wks_amt,7.47,0.0,0.0,281.91,7260.11,208458.0,0.0
Net_farm_management_amt,0.12,0.07,0.0,-33.44,0.0,486633.0,-634500.0
Net_PP_BI_amt,0.49,0.26,0.0,-62.47,0.0,387127.0,-922441.0
Net_NPP_BI_amt,10.17,1.62,0.0,2958.13,72921.99,1142980.0,-495375.0
Total_PP_BI_amt,0.43,0.0,0.0,405.36,0.0,4446139.0,0.0
Total_NPP_BI_amt,9.92,0.0,0.0,9572.17,165446.53,160685016.0,-31882.0
Total_PP_BE_amt,0.44,0.0,0.0,429.35,0.0,4427031.0,-102379.0
Total_NPP_BE_amt,9.24,0.01,0.0,6486.53,96320.55,160720374.0,-113302.0
Net_CG_amt,6.96,0.0,0.0,2093.16,28761.33,9545487.0,0.0
Tot_CY_CG_amt,9.11,0.0,0.0,4870.13,69780.77,9545487.0,0.0
Net_PT_PP_dsn,1.32,0.58,0.0,226.34,0.0,742620.0,-649972.0
Net_PT_NPP_dsn,13.19,0.65,0.0,4893.64,117839.99,1279379.0,-232120.0
Taxed_othr_pnsn_amt,0.23,0.0,0.0,39.62,0.0,115214.0,0.0
Untaxed_othr_pnsn_amt,1.27,0.0,0.0,502.27,18245.1,214716.0,0.0
Other_foreign_inc_amt,6.59,0.08,0.0,229.25,1710.0,392882.0,-15096.0
Other_inc_amt,8.85,0.09,0.0,1825.12,41739.66,1066525.0,-24784.0
Tot_IncLoss_amt,98.97,0.71,58240.5,77031.43,374164.49,10333986.0,-922437.0
WRE_car_amt,23.34,0.0,0.0,622.55,8532.11,29742.0,0.0
WRE_trvl_amt,9.59,0.0,0.0,155.25,3863.11,24893.0,0.0
WRE_uniform_amt,43.11,0.0,0.0,138.4,1171.0,4337.0,0.0
WRE_self_amt,5.69,0.0,0.0,103.91,2842.0,25015.0,0.0
WRE_other_amt,54.85,0.0,149.0,729.75,6505.11,25534.0,0.0
Div_Ded_amt,2.18,0.0,0.0,62.92,436.11,127766.0,0.0
Intrst_Ded_amt,0.88,0.0,0.0,40.93,0.0,328522.0,0.0
Gift_amt,27.69,0.0,0.0,242.25,2634.11,131308.0,0.0
Non_emp_spr_amt,4.18,0.0,0.0,731.35,25602.0,112049.0,0.0
Cost_tax_affairs_amt,39.03,0.0,0.0,181.31,2374.11,25126.0,0.0
Other_Ded_amt,5.8,0.0,0.0,178.68,4440.33,159510.0,0.0
Tot_ded_amt,76.06,0.0,883.0,3187.31,31453.54,512041.0,0.0
PP_loss_claimed,0.13,0.0,0.0,72.46,0.0,924297.0,0.0
NPP_loss_claimed,0.42,0.0,0.0,75.66,0.0,424887.0,0.0
Rep_frng_ben_amt,6.63,0.0,0.0,1395.61,32080.33,198699.0,0.0
Asbl_forgn_source_incm_amt,7.49,0.0,0.0,511.2,5926.11,2419070.0,0.0
Net_fincl_invstmt_lss_amt,0.66,0.0,0.0,33.6,0.0,163390.0,0.0
Rptbl_Empr_spr_cont_amt,9.47,0.0,0.0,669.83,15464.22,146357.0,0.0
Cr_PAYG_ITI_amt,9.07,0.0,0.0,1674.96,33617.66,959219.0,0.0
TFN_amts_wheld_gr_intst_amt,9.37,0.0,0.0,15.48,312.0,23273.0,0.0
TFN_amts_wheld_divs_amt,0.58,0.0,0.0,1.0,0.0,5784.0,0.0
Hrs_to_prepare_BPI_cnt,0.63,0.0,0.0,0.02,0.0,86.0,0.0
Taxable_Income,97.93,0.0,55425.0,73929.02,363838.65,10329282.0,0.0
Help_debt,14.99,0.01,0.0,4072.76,65596.4,148233.0,-1754.0
Spr_Emplr_Contr,76.55,0.0,4637.5,6390.05,30573.33,95678.0,0.0
Spr_Prsnl_Contr,10.72,0.0,0.0,2636.86,59355.78,379830.0,0.0
Spr_Othr_Contr,3.63,0.0,0.0,566.51,10786.11,1283740.0,0.0
Spr_Ttl_Acnt_Bal,90.65,0.0,50787.5,165075.75,1635313.38,6727664.0,0.0
