feature,segment,segment_score_threshold_2pct,value_for_flag_rate_ge_10pct,value_for_flag_rate_ge_25pct,value_for_flag_rate_ge_50pct,flag_rate_in_top1pct_of_feature,feature_p99
Gross_rent_amt,S0: Wage-dominant (mid income),0.533,343.66,31832.91,,29.8,40927.68
Gross_rent_amt,S1: Pension/retirement (low income),0.529,2316.17,2316.17,16860.44,52.5,16860.44
Gross_rent_amt,S2: Business-dominant (mid income),0.542,333.682,33792.56,102694.697,33.7,49468.85
Gross_rent_amt,S3: Investment-income (low income),0.545,140.85,83660.76,,23.4,62530.95
Gross_rent_amt,S4: Other-income (mid income),0.529,636.53,45146.13,,25.5,45146.13
Gross_rent_amt,S5: Rental-property (low income),0.526,117370.15,,,12.9,231278.8
Gross_rent_amt,S6: Trust/partnership (mid income),0.523,12600.01,83075.52,,22.1,62408.71
Gross_rent_amt,S7: No/minimal reported income,0.539,,,,2.0,0.0
Other_foreign_inc_amt,S0: Wage-dominant (mid income),0.533,1.0,7.0,949.0,46.6,598.0
Other_foreign_inc_amt,S1: Pension/retirement (low income),0.529,1.185,796.67,,25.7,796.67
Other_foreign_inc_amt,S2: Business-dominant (mid income),0.542,1.0,13.0,,41.2,727.53
Other_foreign_inc_amt,S3: Investment-income (low income),0.545,2491.782,26321.427,,14.4,8010.58
Other_foreign_inc_amt,S4: Other-income (mid income),0.529,77.372,,,21.8,392882.0
Other_foreign_inc_amt,S5: Rental-property (low income),0.526,1.0,815.075,,30.1,2352.05
Other_foreign_inc_amt,S6: Trust/partnership (mid income),0.523,56.0,,,22.1,10502.4
Other_foreign_inc_amt,S7: No/minimal reported income,0.539,,,,2.0,0.0
Tot_CY_CG_amt,S0: Wage-dominant (mid income),0.533,4.0,126.0,,38.5,11079.36
Tot_CY_CG_amt,S1: Pension/retirement (low income),0.529,3.0,3791.09,,27.4,5863.13
Tot_CY_CG_amt,S2: Business-dominant (mid income),0.542,1.0,2855.3,,32.6,16832.75
Tot_CY_CG_amt,S3: Investment-income (low income),0.545,72985.77,9545487.0,,16.1,793793.0
Tot_CY_CG_amt,S4: Other-income (mid income),0.529,1.392,8289.9,71131.24,38.2,33558.46
Tot_CY_CG_amt,S5: Rental-property (low income),0.526,2.0,44982.775,,20.4,25231.25
Tot_CY_CG_amt,S6: Trust/partnership (mid income),0.523,204.222,149884.872,,16.6,55587.57
Tot_CY_CG_amt,S7: No/minimal reported income,0.539,,,,2.0,0.0
Spr_Prsnl_Contr,S0: Wage-dominant (mid income),0.533,44.0,7943.1,,30.7,21500.0
Spr_Prsnl_Contr,S1: Pension/retirement (low income),0.529,19.0,1477.74,,23.5,27603.0
Spr_Prsnl_Contr,S2: Business-dominant (mid income),0.542,3796.73,,,15.0,54676.91
Spr_Prsnl_Contr,S3: Investment-income (low income),0.545,356294.775,,,7.9,311520.0
Spr_Prsnl_Contr,S4: Other-income (mid income),0.529,4347.3,,,12.7,136805.63
Spr_Prsnl_Contr,S5: Rental-property (low income),0.526,883.325,,,12.9,166259.05
Spr_Prsnl_Contr,S6: Trust/partnership (mid income),0.523,315541.5,,,6.2,183997.19
Spr_Prsnl_Contr,S7: No/minimal reported income,0.539,645.44,6400.82,,18.6,3101.66
Gift_amt,S0: Wage-dominant (mid income),0.533,765.0,,,15.1,2248.84
Gift_amt,S1: Pension/retirement (low income),0.529,113.0,3267.07,,23.5,2554.1
Gift_amt,S2: Business-dominant (mid income),0.542,55.212,2575.265,,23.5,1956.04
Gift_amt,S3: Investment-income (low income),0.545,1994.74,131308.0,,17.0,7516.3
Gift_amt,S4: Other-income (mid income),0.529,463.535,6463.99,,25.5,6463.99
Gift_amt,S5: Rental-property (low income),0.526,641.587,,,11.8,3314.8
Gift_amt,S6: Trust/partnership (mid income),0.523,316.075,11814.0,,24.1,5490.03
Gift_amt,S7: No/minimal reported income,0.539,,,,2.0,0.0
Net_CG_amt,S0: Wage-dominant (mid income),0.533,1.0,53.0,,36.3,3907.84
Net_CG_amt,S1: Pension/retirement (low income),0.529,4.0,2900.847,,23.5,2293.68
Net_CG_amt,S2: Business-dominant (mid income),0.542,1.0,1662.42,,27.8,5301.14
Net_CG_amt,S3: Investment-income (low income),0.545,37725.262,2450334.25,,18.1,396896.0
Net_CG_amt,S4: Other-income (mid income),0.529,2.0,5912.995,29749.3,32.7,12253.68
Net_CG_amt,S5: Rental-property (low income),0.526,1.312,22490.725,,20.4,10417.65
Net_CG_amt,S6: Trust/partnership (mid income),0.523,124.197,75627.075,,17.9,25948.86
Net_CG_amt,S7: No/minimal reported income,0.539,,,,2.0,0.0
Asbl_forgn_source_incm_amt,S0: Wage-dominant (mid income),0.533,1.0,15.0,,39.4,1074.0
Asbl_forgn_source_incm_amt,S1: Pension/retirement (low income),0.529,1.0,,,12.8,5384.72
Asbl_forgn_source_incm_amt,S2: Business-dominant (mid income),0.542,1.927,33.0,,30.5,2144.04
Asbl_forgn_source_incm_amt,S3: Investment-income (low income),0.545,3256.187,41702.58,,15.4,12603.6
Asbl_forgn_source_incm_amt,S4: Other-income (mid income),0.529,,,,9.6,226914.0
Asbl_forgn_source_incm_amt,S5: Rental-property (low income),0.526,1.0,,,14.0,8581.65
Asbl_forgn_source_incm_amt,S6: Trust/partnership (mid income),0.523,57.612,,,22.8,12816.01
Asbl_forgn_source_incm_amt,S7: No/minimal reported income,0.539,,,,2.0,0.0
Unfranked_Div_amt,S0: Wage-dominant (mid income),0.533,2.0,63.0,,36.2,312.0
Unfranked_Div_amt,S1: Pension/retirement (low income),0.529,21.0,318.505,,30.2,540.34
Unfranked_Div_amt,S2: Business-dominant (mid income),0.542,0.437,56.0,,40.1,584.51
Unfranked_Div_amt,S3: Investment-income (low income),0.545,,,,6.4,19999.73
Unfranked_Div_amt,S4: Other-income (mid income),0.529,11.0,1228.587,,21.8,902.98
Unfranked_Div_amt,S5: Rental-property (low income),0.526,201.0,,,21.5,2162.65
Unfranked_Div_amt,S6: Trust/partnership (mid income),0.523,38.0,,,21.4,1500.66
Unfranked_Div_amt,S7: No/minimal reported income,0.539,,,,2.0,0.0
Rent_int_ded_amt,S0: Wage-dominant (mid income),0.533,28.0,37743.36,,22.4,27798.36
Rent_int_ded_amt,S1: Pension/retirement (low income),0.529,69.505,69.505,12473.04,39.7,2692.14
Rent_int_ded_amt,S2: Business-dominant (mid income),0.542,23.87,20583.322,,35.3,28282.65
Rent_int_ded_amt,S3: Investment-income (low income),0.545,102.45,,,21.8,27298.06
Rent_int_ded_amt,S4: Other-income (mid income),0.529,82.06,19378.625,,30.9,26548.85
Rent_int_ded_amt,S5: Rental-property (low income),0.526,54023.175,188209.462,,17.2,99507.65
Rent_int_ded_amt,S6: Trust/partnership (mid income),0.523,6331.07,51732.06,,18.6,36046.47
Rent_int_ded_amt,S7: No/minimal reported income,0.539,,,,2.0,0.0
Spr_Emplr_Contr,S0: Wage-dominant (mid income),0.533,20159.3,,,16.3,31958.84
Spr_Emplr_Contr,S1: Pension/retirement (low income),0.529,2204.592,4990.645,,20.1,3294.67
Spr_Emplr_Contr,S2: Business-dominant (mid income),0.542,4531.57,14183.465,30002.0,33.2,18556.74
Spr_Emplr_Contr,S3: Investment-income (low income),0.545,169.0,37358.0,,18.6,27752.09
Spr_Emplr_Contr,S4: Other-income (mid income),0.529,17173.557,,,16.4,29397.41
Spr_Emplr_Contr,S5: Rental-property (low income),0.526,7446.987,,,12.9,25719.35
Spr_Emplr_Contr,S6: Trust/partnership (mid income),0.523,15509.2,,,10.9,29150.0
Spr_Emplr_Contr,S7: No/minimal reported income,0.539,444.205,3508.04,,25.6,3508.04
