feature,value_for_flag_rate_ge_10pct,value_for_flag_rate_ge_25pct,value_for_flag_rate_ge_50pct,flag_rate_in_top1pct_of_feature,feature_p99
Gross_rent_amt,159.08,,,20.0,58116.75
Tot_CY_CG_amt,2.0,,,17.1,69780.77
Rent_int_ded_amt,162.0,41059.555,,22.6,30016.44
Spr_Prsnl_Contr,1067.0,,,14.4,59355.78
Gift_amt,594.0,11814.0,,17.4,2634.11
WRE_other_amt,7416.832,,,9.1,6505.11
Net_CG_amt,3.0,,,17.9,28761.33
Frk_Div_amt,381.0,,,9.0,36318.98
Cr_PAYG_ITI_amt,5583.272,98953.88,,15.8,33617.66
Asbl_forgn_source_incm_amt,2.0,,,13.5,5926.11
