variable,nonzero_pct,decision
Sw_amt,79.65,kept
Alow_ben_amt,26.76,kept
ETP_txbl_amt,1.89,kept
Grs_int_amt,63.4,kept
Aust_govt_pnsn_allw_amt,10.34,kept
Unfranked_Div_amt,8.11,kept
Frk_Div_amt,18.8,kept
Dividends_franking_cr_amt,18.64,dropped: redundant
Net_rent_amt,14.1,kept
Gross_rent_amt,14.03,kept
Other_rent_ded_amt,14.02,dropped: redundant
Rent_int_ded_amt,10.7,kept
Rent_cap_wks_amt,7.47,kept
Net_farm_management_amt,0.12,dropped: sparse
Net_PP_BI_amt,0.49,dropped: sparse
Net_NPP_BI_amt,10.17,kept
Total_PP_BI_amt,0.43,dropped: sparse
Total_NPP_BI_amt,9.92,kept
Total_PP_BE_amt,0.44,dropped: sparse
Total_NPP_BE_amt,9.24,dropped: redundant
Net_CG_amt,6.96,kept
Tot_CY_CG_amt,9.11,kept
Net_PT_PP_dsn,1.32,kept
Net_PT_NPP_dsn,13.19,kept
Taxed_othr_pnsn_amt,0.23,dropped: sparse
Untaxed_othr_pnsn_amt,1.27,kept
Other_foreign_inc_amt,6.59,kept
Other_inc_amt,8.85,kept
Tot_IncLoss_amt,98.97,kept
WRE_car_amt,23.34,kept
WRE_trvl_amt,9.59,kept
WRE_uniform_amt,43.11,kept
WRE_self_amt,5.69,kept
WRE_other_amt,54.85,kept
Div_Ded_amt,2.18,kept
Intrst_Ded_amt,0.88,dropped: sparse
Gift_amt,27.69,kept
Non_emp_spr_amt,4.18,kept
Cost_tax_affairs_amt,39.03,kept
Other_Ded_amt,5.8,kept
Tot_ded_amt,76.06,kept
PP_loss_claimed,0.13,dropped: sparse
NPP_loss_claimed,0.42,dropped: sparse
Rep_frng_ben_amt,6.63,kept
Asbl_forgn_source_incm_amt,7.49,kept
Net_fincl_invstmt_lss_amt,0.66,dropped: sparse
Rptbl_Empr_spr_cont_amt,9.47,kept
Cr_PAYG_ITI_amt,9.07,kept
TFN_amts_wheld_gr_intst_amt,9.37,kept
TFN_amts_wheld_divs_amt,0.58,dropped: sparse
Hrs_to_prepare_BPI_cnt,0.63,dropped: sparse
Taxable_Income,97.93,kept
Help_debt,14.99,kept
Spr_Emplr_Contr,76.55,kept
Spr_Prsnl_Contr,10.72,kept
Spr_Othr_Contr,3.63,kept
Spr_Ttl_Acnt_Bal,90.65,kept
