,count,mean,std,min,50%,90%,99%,max
deduction_to_income_ratio,321890.0,0.047,0.176,0.0,0.015,0.1,0.453,5.0
wre_to_salary_ratio,321890.0,0.031,0.145,0.0,0.008,0.071,0.294,5.0
business_expense_ratio,321890.0,0.07,0.482,-113.302,0.0,0.0,1.248,10.0
rental_deduction_ratio,321890.0,0.165,0.551,0.0,0.0,0.688,2.193,10.0
taxable_income_ratio,321890.0,0.999,0.021,0.4,1.0,1.0,1.0,1.0
investment_deduction_ratio,321890.0,0.034,0.501,0.0,0.0,0.0,0.263,10.0
gift_to_income_ratio,321890.0,0.003,0.034,0.0,0.0,0.003,0.043,2.0
tax_affairs_cost_ratio,321890.0,0.005,0.044,0.0,0.0,0.006,0.085,1.0
personal_super_ratio,321890.0,0.051,0.387,0.0,0.0,0.004,1.197,5.0
payg_instalment_ratio,321890.0,0.015,0.107,0.0,0.0,0.0,0.289,2.0
items_reported,321890.0,10.971,4.141,0.0,11.0,16.0,23.0,36.0
lodged_via_agent,321890.0,0.629,0.483,0.0,1.0,1.0,1.0,1.0
