,mean_abs_shap,mean_contribution_flagged,mean_contribution_unflagged,corr_feature_value_vs_contribution
log_Gross_rent_amt,0.2757,0.4175,0.002,0.7352
log_Tot_CY_CG_amt,0.1741,0.265,-0.0105,0.8052
log_Rent_int_ded_amt,0.1725,0.2636,-0.0024,0.7693
log_Spr_Prsnl_Contr,0.1583,0.16,-0.0071,0.7637
log_Gift_amt,0.1552,0.1637,0.0014,0.8282
log_WRE_other_amt,0.151,0.1592,0.0046,0.6332
log_Net_CG_amt,0.1509,0.2148,-0.0088,0.7471
log_Frk_Div_amt,0.1503,0.1837,-0.001,0.7819
log_Cr_PAYG_ITI_amt,0.1324,0.1687,-0.0054,0.7697
log_Asbl_forgn_source_incm_amt,0.1317,0.1727,-0.006,0.7677
log_Spr_Emplr_Contr,0.1312,0.1093,0.0105,0.7175
log_Unfranked_Div_amt,0.1262,0.1494,-0.0055,0.7432
log_Other_Ded_amt,0.1259,0.1472,-0.0004,0.6486
log_Other_foreign_inc_amt,0.1248,0.1758,-0.0064,0.7396
deduction_to_income_ratio,0.1225,0.1888,0.0063,0.8657
log_Rent_cap_wks_amt,0.1215,0.19,0.0001,0.742
items_reported,0.1197,0.2072,0.0045,0.7179
rental_deduction_ratio,0.1147,0.1802,-0.0,0.762
log_TFN_amts_wheld_gr_intst_amt,0.1137,0.0292,0.0091,0.504
log_Help_debt,0.1135,-0.0156,0.0011,0.4999
log_Cost_tax_affairs_amt,0.1102,0.1127,-0.0015,0.8416
payg_instalment_ratio,0.1055,0.133,-0.0034,0.706
log_Other_inc_amt,0.1047,0.0993,0.0048,0.4149
log_Net_rent_amt,0.1038,0.1412,-0.0007,-0.1905
log_Alow_ben_amt,0.0987,0.0754,0.0033,0.6153
log_Sw_amt,0.0973,0.0829,0.0008,0.7391
tax_affairs_cost_ratio,0.0946,0.1079,-0.0004,0.7473
log_Rptbl_Empr_spr_cont_amt,0.0941,0.1155,0.0009,0.5523
log_Non_emp_spr_amt,0.0917,0.111,-0.0019,0.6655
lodged_via_agent,0.0903,-0.0097,0.006,-0.313
log_Aust_govt_pnsn_allw_amt,0.0898,0.0424,-0.0007,-0.1282
log_Tot_ded_amt,0.0872,0.1085,-0.0002,0.644
log_WRE_uniform_amt,0.0871,0.0624,0.0054,0.5275
log_Total_NPP_BI_amt,0.0867,0.0769,-0.0015,0.3721
log_Net_PT_NPP_dsn,0.0864,0.0996,-0.0001,0.4303
investment_deduction_ratio,0.0826,0.1306,-0.0049,0.5765
log_WRE_car_amt,0.0821,0.0826,-0.0014,0.6068
log_Tot_IncLoss_amt,0.0817,0.061,-0.0006,0.2944
log_Div_Ded_amt,0.0817,0.1195,-0.0035,0.5492
personal_super_ratio,0.0799,0.0821,-0.002,0.7405
log_Taxable_Income,0.0773,0.0495,0.0018,0.2967
log_Spr_Ttl_Acnt_Bal,0.0756,-0.0081,0.0028,-0.1096
gift_to_income_ratio,0.0726,0.0796,0.0027,0.7586
log_Rep_frng_ben_amt,0.0687,0.0825,-0.0063,0.4453
log_Grs_int_amt,0.0654,0.0377,0.0019,0.5025
log_Spr_Othr_Contr,0.0644,0.0601,-0.0089,0.3608
log_Net_NPP_BI_amt,0.064,0.0547,-0.0004,0.052
wre_to_salary_ratio,0.0595,0.0645,-0.0005,0.7111
business_expense_ratio,0.0585,0.0515,-0.0014,0.37
log_WRE_trvl_amt,0.0433,0.0412,-0.0025,0.4509
log_WRE_self_amt,0.041,0.0253,-0.0027,0.3031
log_Untaxed_othr_pnsn_amt,0.0362,0.0377,-0.0003,0.464
log_Net_PT_PP_dsn,0.0291,0.0079,-0.0037,0.0265
log_ETP_txbl_amt,0.0177,0.0087,-0.002,0.2154
taxable_income_ratio,0.0,0.0,0.0,
