,mean_abs_shap
taxable_income_ratio,0.0947
deduction_to_income_ratio,0.0477
rental_deduction_ratio,0.035
business_expense_ratio,0.0282
log_Net_rent_amt,0.026
log_Tot_IncLoss_amt,0.0249
log_Taxable_Income,0.0242
log_Tot_ded_amt,0.0231
log_Total_NPP_BI_amt,0.0206
log_Net_NPP_BI_amt,0.0199
log_Gross_rent_amt,0.0173
log_WRE_other_amt,0.0172
log_Intrst_Ded_amt,0.0163
investment_deduction_ratio,0.0159
wre_to_salary_ratio,0.0153
log_Div_Ded_amt,0.0152
log_WRE_trvl_amt,0.0152
log_WRE_car_amt,0.013
log_Grs_int_amt,0.0088
log_Sw_amt,0.0087
items_reported,0.0074
log_Rent_int_ded_amt,0.0039
log_Spr_Emplr_Contr,0.0037
log_Spr_Ttl_Acnt_Bal,0.0032
log_Frk_Div_amt,0.0025
tax_affairs_cost_ratio,0.0024
payg_instalment_ratio,0.0022
log_Rent_cap_wks_amt,0.0019
log_Cost_tax_affairs_amt,0.0016
log_WRE_uniform_amt,0.0016
log_Cr_PAYG_ITI_amt,0.0012
lodged_via_agent,0.0012
log_Alow_ben_amt,0.0012
gift_to_income_ratio,0.0011
log_Other_inc_amt,0.0011
log_Gift_amt,0.001
log_Net_PT_NPP_dsn,0.0009
log_Unfranked_Div_amt,0.0008
personal_super_ratio,0.0007
log_Aust_govt_pnsn_allw_amt,0.0005
log_Tot_CY_CG_amt,0.0005
log_WRE_self_amt,0.0005
log_TFN_amts_wheld_gr_intst_amt,0.0005
log_Help_debt,0.0004
log_Rptbl_Empr_spr_cont_amt,0.0004
log_Other_Ded_amt,0.0004
log_Net_CG_amt,0.0004
log_Spr_Prsnl_Contr,0.0004
log_Asbl_forgn_source_incm_amt,0.0004
log_Other_foreign_inc_amt,0.0004
log_Rep_frng_ben_amt,0.0003
log_Non_emp_spr_amt,0.0003
log_Spr_Othr_Contr,0.0001
log_Net_PT_PP_dsn,0.0001
log_ETP_txbl_amt,0.0001
log_Untaxed_othr_pnsn_amt,0.0001
